"concept_id","person_id_count","record_count","concept_name"
434289,595,998,"Primary malignant neoplasm of lingual tonsil"
432263,18797,36830,"Primary malignant neoplasm of lower inner quadrant of female breast"
257503,10822,16569,"Primary malignant neoplasm of main bronchus"
379756,790,1107,"Primary malignant neoplasm of mandible"
200963,18,27,"Primary malignant neoplasm of paraurethral glands"
438089,1541,2543,"Primary malignant neoplasm of pyloric antrum"
433704,524,893,"Primary malignant neoplasm of retromolar area"
4247348,118,141,"Primary malignant neoplasm of skin of breast"
136917,8878,10339,"Primary malignant neoplasm of skin of face"
440047,814,1338,"Primary malignant neoplasm of tonsillar pillar"
76924,1542,2552,"Primary malignant neoplasm of ureteric orifice of urinary bladder"
196049,973,1609,"Primary malignant neoplasm of urethra"
432254,29,37,"Primary malignant neoplasm of Waldeyer's ring"
4312290,176,194,"Secondary malignant neoplasm of cerebral meninges"
4312023,1866,3082,"Secondary malignant neoplasm of intra-abdominal organs"
200959,2467,2723,"Secondary malignant neoplasm of intrapelvic lymph nodes"
318096,12453,14323,"Secondary malignant neoplasm of lymph node"
320342,2638,2802,"Secondary malignant neoplasm of lymph nodes of multiple sites"
141524,79,92,"Mycosis fungoides of lymph nodes of axilla AND/OR upper limb"
132850,331,430,"Myeloid leukemia in remission"
196365,275,316,"Neoplasm of uncertain behavior of adrenal gland"
432559,610,698,"Primary malignant neoplasm of occipital lobe"
432833,3962,7675,"Primary malignant neoplasm of oropharynx"
139753,191,239,"Primary malignant neoplasm of parathyroid gland"
74582,34197,62866,"Primary malignant neoplasm of rectum"
133147,6809,7556,"Primary malignant neoplasm of skin of trunk"
197808,345,374,"Primary malignant neoplasm of soft tissues of trunk"
193418,138,190,"Primary malignant neoplasm of spleen"
433976,3552,4113,"Primary malignant neoplasm of temporal lobe"
433716,11918,24558,"Primary malignant neoplasm of testis"
432262,918,1719,"Primary malignant neoplasm of trachea"
436054,731,1185,"Primary malignant neoplasm of undescended testis"
252840,112,140,"Primary malignant neoplasm of upper respiratory tract"
4246451,19772,24175,"Secondary malignant neoplasm of brain"
439751,5546,5841,"Secondary malignant neoplasm of intrathoracic lymph nodes"
198371,1226,1823,"Secondary malignant neoplasm of small intestine"
198401,4998,7206,"Neoplasm of uncertain behavior of bladder"
4314634,88,134,"Neoplasm of uncertain behavior of carotid body"
135489,4526,8118,"Primary malignant neoplasm of male breast"
4247336,28,40,"Primary malignant neoplasm of middle ear"
4247842,254,440,"Primary malignant neoplasm of myometrium"
438086,2617,3032,"Primary malignant neoplasm of parietal lobe"
436922,107,154,"Primary malignant neoplasm of postcricoid region"
435474,193,317,"Primary malignant neoplasm of posterior hypopharyngeal wall"
439739,344,566,"Primary malignant neoplasm of posterior wall of oropharynx"
438699,10299,17621,"Primary malignant neoplasm of rectosigmoid junction"
435493,162,190,"Primary malignant neoplasm of short bone of upper limb"
4312685,5482,9469,"Primary malignant neoplasm of skin of lower limb"
440658,1594,1863,"Primary malignant neoplasm of skin of upper limb"
135491,1094,1331,"Primary malignant neoplasm of spinal cord"
4312691,311,473,"Primary malignant neoplasm of submaxillary gland"
432843,4993,8983,"Primary malignant neoplasm of tail of pancreas"
437498,4950,8929,"Primary malignant neoplasm of tongue"
434285,89,146,"Primary malignant neoplasm of uvula"
438360,322,554,"Primary malignant neoplasm of vallecula"
437881,198,260,"Malignant otitis externa"
192568,5936,6644,"Secondary malignant neoplasm of intra-abdominal lymph nodes"
4314071,2125,3078,"Secondary malignant neoplasm of trunk"
201813,20,24,"Mycosis fungoides of intra-abdominal lymph nodes"
4314207,198,301,"Neoplasm of uncertain behavior of appendix"
140357,356,410,"Neoplasm of uncertain behavior of endocrine gland"
4247836,1088,1889,"Primary malignant neoplasm of major salivary gland"
438693,477,571,"Primary malignant neoplasm of mediastinum"
438367,1215,2097,"Primary malignant neoplasm of nasal cavity"
441510,26,26,"Primary malignant neoplasm of parietal pleura"
198988,846,1308,"Primary malignant neoplasm of pelvis"
377811,103,159,"Primary malignant neoplasm of retina"
436635,29216,53047,"Primary malignant neoplasm of sigmoid colon"
435755,1655,1817,"Primary malignant neoplasm of skin of eyelid"
136915,1181,1336,"Primary malignant neoplasm of skin of lip"
438094,1367,1775,"Primary malignant neoplasm of soft tissues of lower limb"
317801,729,824,"Primary malignant neoplasm of soft tissues of thorax"
134295,413,429,"Primary malignant neoplasm of spinal meninges"
259755,252,404,"Primary malignant neoplasm of subglottis"
441223,118,184,"Primary malignant neoplasm of superior wall of nasopharynx"
198091,3013,5059,"Primary malignant neoplasm of retroperitoneum"
432257,8969,16233,"Primary malignant neoplasm of transverse colon"
436923,2131,3575,"Primary malignant neoplasm of urinary bladder neck"
200052,1248,1801,"Primary malignant neoplasm of uterine adnexa"
437220,472,774,"Primary malignant neoplasm of ventral surface of tongue"
195197,5902,10355,"Primary malignant neoplasm of vulva"
193144,5396,7911,"Secondary malignant neoplasm of adrenal gland"
140960,529,875,"Secondary malignant neoplasm of female breast"
136354,3179,4521,"Secondary malignant neoplasm of skin"
442168,3,3,"Mycosis fungoides of spleen"
135204,1200,1613,"Mycosis fungoides of extranodal AND/OR solid organ site"
4313365,3517,5316,"Neoplasm of uncertain behavior of brain"
441515,28754,56558,"Primary malignant neoplasm of lower outer quadrant of female breast"
137800,938,1606,"Primary malignant neoplasm of maxillary sinus"
432256,37,49,"Primary malignant neoplasm of Meckel's diverticulum"
4246141,432,568,"Primary malignant neoplasm of pelvic bone"
192255,322,513,"Primary malignant neoplasm of pylorus"
441520,16,26,"Primary malignant neoplasm of round ligament of uterus"
434880,136,188,"Primary malignant neoplasm of short bone of lower limb"
139750,27985,40896,"Primary malignant neoplasm of skin"
254282,681,1101,"Primary malignant neoplasm of soft palate"
197807,1507,1713,"Primary malignant neoplasm of soft tissues of abdomen"
437798,2325,4092,"Primary malignant neoplasm of splenic flexure of colon"
438368,1289,1590,"Primary malignant neoplasm of thymus"
436353,132537,265743,"Primary malignant neoplasm of upper outer quadrant of female breast"
76349,2536,4387,"Primary malignant neoplasm of urinary system"
199752,1130,1825,"Secondary malignant neoplasm of ovary"
4315805,105,134,"Secondary malignant neoplasm of peritoneum"
138377,112,139,"Mycosis fungoides of lymph nodes of head, face AND/OR neck"
193437,146,189,"Neoplasm of uncertain behavior of female genital organ"
441809,117,164,"Primary malignant neoplasm of orbit"
200051,33292,68938,"Primary malignant neoplasm of ovary"
442122,161,199,"Primary malignant neoplasm of paraganglion"
26361,194,239,"Primary malignant neoplasm of pineal gland"
436344,404,632,"Primary malignant neoplasm of posterior wall of nasopharynx"
200962,160499,289978,"Primary malignant neoplasm of prostate"
435190,649,1040,"Primary malignant neoplasm of pyriform sinus"
4247350,1407,1737,"Primary malignant neoplasm of skin of ear"
4247358,834,937,"Primary malignant neoplasm of soft tissues of pelvis"
136639,108,175,"Primary malignant neoplasm of sphenoidal sinus"
133424,28301,42198,"Primary malignant neoplasm of thyroid gland"
4312802,535,608,"Secondary malignant neoplasm of bladder"
196053,620,992,"Secondary malignant neoplasm of kidney"
200348,1355,2328,"Secondary malignant neoplasm of large intestine"
442182,1244,1365,"Secondary malignant neoplasm of lymph nodes of lower limb"
140967,208,292,"Myeloid sarcoma"
4315940,30,35,"Neoplasm of uncertain behavior of central nervous system"
201518,4801,5138,"Primary malignant neoplasm of lower limb"
433423,1729,2698,"Primary malignant neoplasm of pancreatic duct"
196047,56,80,"Primary malignant neoplasm of parametrium"
40650479,4300,7539,"Primary malignant neoplasm of posterior wall of urinary bladder"
192836,2175,3579,"Primary malignant neoplasm of small intestine"
439738,37,55,"Primary malignant neoplasm of sublingual gland"
261514,4373,7470,"Primary malignant neoplasm of supraglottis"
435484,3667,6218,"Primary malignant neoplasm of trigone of urinary bladder"
81239,4755,5049,"Primary malignant neoplasm of upper limb"
201517,136,232,"Primary malignant neoplasm of urachus"
133969,307,442,"Primary malignant neoplasm of vermilion border of lip"
261808,78,127,"Primary malignant neoplasm of vestibule of mouth"
78097,96652,139389,"Secondary malignant neoplasm of bone"
254591,28966,44989,"Secondary malignant neoplasm of lung"
373425,5684,9460,"Secondary malignant neoplasm of nervous system"
72266,3901,5408,"Secondary malignant neoplasm of pleura"
253717,421,582,"Secondary malignant neoplasm of respiratory tract"
134879,18,23,"Mycosis fungoides of intrathoracic lymph nodes"
132575,48,68,"Myeloid sarcoma in remission"
4314637,92,136,"Neoplasm of uncertain behavior of cerebral meninges"
4317409,459,574,"Neoplasm of uncertain behavior of colon"
374313,5690,7349,"Neoplasm of uncertain behavior of soft tissues"
442167,64,91,"Neoplasm of uncertain behavior of craniopharyngeal duct"
197507,138,199,"Primary malignant neoplasm of male genital organ"
376918,270,285,"Primary malignant neoplasm of nervous system"
4246137,245,382,"Primary malignant neoplasm of optic nerve"
28083,1969,3327,"Primary malignant neoplasm of pharynx"
24296,609,632,"Primary malignant neoplasm of pituitary gland"
78093,809,992,"Primary malignant neoplasm of pleura"
435487,51,61,"Primary malignant neoplasm of posterior mediastinum"
195480,4502,7734,"Primary malignant neoplasm of renal pelvis"
4311499,93827,183599,"Primary malignant neoplasm of respiratory tract"
433709,2086,3617,"Primary malignant neoplasm of tonsillar fossa"
4312698,2274,2639,"Primary malignant neoplasm of trunk"
440956,37809,74686,"Primary malignant neoplasm of upper inner quadrant of female breast"
200054,3206,6248,"Primary malignant neoplasm of ureter"
441230,15,15,"Primary malignant neoplasm of visceral pleura"
136930,6,6,"Megakaryocytic leukemia in remission"
4246450,2667,3468,"Secondary malignant neoplasm of bone marrow"
198700,24600,42918,"Secondary malignant neoplasm of liver"
434298,8605,9651,"Secondary malignant neoplasm of lymph nodes of upper limb"
434875,2592,3273,"Secondary malignant neoplasm of mediastinum"
78987,1096,1816,"Secondary malignant neoplasm of urinary system"
436059,4445,6073,"Multiple myeloma in remission"
442169,4,4,"Mycosis fungoides of intrapelvic lymph nodes"
4313379,10,15,"Neoplasm of uncertain behavior of cranial nerve"
22274,231,320,"Neoplasm of uncertain behavior of larynx"
4316506,5,7,"Neoplasm of uncertain behavior of minor salivary gland"
22871,38,51,"Neoplasm of uncertain behavior of pineal gland"
4317816,71,102,"Neoplasm of uncertain behavior of small intestine"
440971,241,299,"Neoplasm of uncertain behavior of testis"
435492,459,549,"Nodular lymphoma of intrathoracic lymph nodes"
201527,1282,1541,"Neoplasm of uncertain behavior of prostate"
4316733,1,2,"Neoplasm of uncertain behavior of sublingual gland"
4315953,93,108,"Neoplasm of uncertain behavior of retroperitoneum"
4317829,104,118,"Neoplasm of uncertain behavior of trunk"
200338,1831,2293,"Nodular lymphoma of intra-abdominal lymph nodes"
198402,339,412,"Neoplasm of uncertain behavior of kidney"
4317548,105,121,"Neoplasm of uncertain behavior of lip"
376660,15,17,"Neoplasm of uncertain behavior of nervous system"
4316995,95,123,"Neoplasm of uncertain behavior of renal pelvis"
135777,60219,91286,"Neoplasm of uncertain behavior of skin"
4317822,64,71,"Neoplasm of uncertain behavior of spinal cord"
4317827,186,251,"Neoplasm of uncertain behavior of tongue"
4316746,6,6,"Neoplasm of uncertain behavior of urethra"
195793,202,227,"Neoplasm of uncertain behavior of uterus"
133158,68,88,"Plasma cell leukemia in remission"
200659,553,631,"Reticulosarcoma of intra-abdominal lymph nodes"
4316619,124,161,"Neoplasm of uncertain behavior of pharynx"
442129,65,96,"Neoplasm of uncertain behavior of ureter"
79765,1049,1214,"Neoplasm of uncertain behavior of urinary system"
201519,9922,16200,"Primary malignant neoplasm of liver"
435193,222,245,"Reticulosarcoma of intrathoracic lymph nodes"
139759,835,904,"Reticulosarcoma of lymph nodes of multiple sites"
197518,50,56,"Neoplasm of uncertain behavior of male genital organ"
442141,193,278,"Neoplasm of uncertain behavior of rectum"
4317020,2,3,"Neoplasm of uncertain behavior of spinal meninges"
200675,1023,1438,"Neoplasm of uncertain behavior of ovary"
27835,243,347,"Neoplasm of uncertain behavior of pituitary gland"
194598,30,36,"Neoplasm of uncertain behavior of placenta"
442140,11,14,"Neoplasm of uncertain behavior of pleura"
4317685,2947,3423,"Neoplasm of uncertain behavior of respiratory tract"
4317826,349,421,"Neoplasm of uncertain behavior of thyroid gland"
4313657,203,276,"Neoplasm of uncertain behavior of parotid gland"
439773,24,24,"Neoplasm of uncertain behavior of thymus"
198088,261,338,"Nodular lymphoma of intrapelvic lymph nodes"
194878,704,866,"Nodular lymphoma of extranodal AND/OR solid organ site"
192265,73,82,"Reticulosarcoma of intrapelvic lymph nodes"
442147,73,82,"Neoplasm of uncertain behavior of mediastinum"
4316887,5,7,"Neoplasm of uncertain behavior of parathyroid gland"
320347,3096,3666,"Nodular lymphoma of lymph nodes of multiple sites"
198374,140,175,"Nodular lymphoma of spleen"
133154,403,492,"Plasma cell leukemia"
442128,71,91,"Reticulosarcoma of spleen"
36550957,9,9,"Acinar cell tumor of parotid gland"
4303970,825,1093,"Endometrial intraepithelial neoplasia"
137813,239,306,"Benign neoplasm of mouth region"
4168352,9786,9794,"Tumor progression"
4170421,230,235,"Gastrointestinal stromal tumor"
4225982,262,413,"Mature T-cell AND/OR NK cell neoplasm"
4313634,171,200,"Basal cell carcinoma of chest wall"
4313056,4,5,"Primary malignant neoplasm of lacrimal drainage system"
4143848,198,250,"Subacute leukemia in remission"
4143382,8,9,"Subacute myeloid leukemia in remission"
4137687,469,594,"Acute promyelocytic leukemia, FAB M3, in remission"
4139054,3,3,"Subacute lymphoid leukemia in remission"
4139358,12,16,"Erythroleukemia, FAB M6 in remission"
432271,1008,1689,"Carcinoid tumor of ileum"
4142878,34,35,"Immunoproliferative neoplasm in remission"
443565,123,155,"Carcinoid tumor of gastrointestinal tract"
4331508,3894,4858,"Increased cancer antigen 125"
4329511,11,13,"Disorder of optic chiasm due to neoplasm"
4334322,1763,2634,"Malignant neoplasm of lower respiratory tract"
443708,20,23,"Cervical Papanicolaou smear positive for malignant neoplasm"
4232106,16,22,"Neoplasm of upper aerodigestive tract"
443712,8,10,"Vaginal Papanicolaou smear positive for malignant neoplasm"
4261933,3660,3915,"Estrogen receptor negative neoplasm"
40481357,362,431,"Large cell lymphoma of intrapelvic lymph nodes"
40479608,557,646,"Mantle cell lymphoma of spleen"
40481902,2,2,"Malignant neoplasm of anorectum"
40482893,2586,3063,"Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue (MALT-lymphoma)"
40482784,1366,1659,"Malignant neoplasm of skeletal system"
40482829,11,12,"Leiomyosarcoma"
40484156,3570,3859,"Malignant adenomatous neoplasm"
40483374,27,29,"Hepatosplenic T-cell lymphoma"
40481522,408,584,"Primary mediastinal (thymic) large B-cell lymphoma"
40481524,89,113,"Acute myeloid leukemia with t(9:11)(p22;q23); MLLT3-MLL"
40482859,2970,4415,"Malignant carcinoid tumor"
40483761,410,472,"Acute myeloid leukemia with myelodysplasia-related changes"
40481907,798,1051,"Carcinoid tumor"
40482072,50,69,"Blastic plasmacytoid dendritic cell neoplasm"
40482847,5,8,"Juvenile myelomonocytic leukemia"
40481901,3558,5974,"Mantle cell lymphoma"
40490929,2200,3452,"Primary malignant neoplasm of intrahepatic bile duct"
40488896,419,664,"Anaplastic large cell lymphoma, ALK negative"
40492267,236,239,"Gastrointestinal stromal tumor of small intestine"
40492268,996,1147,"Myelodysplastic/myeloproliferative disease"
40490918,2021,2229,"Marginal zone lymphoma"
40490328,33,33,"Gastrointestinal stromal tumor of large intestine"
40487528,4210,5178,"Non-Hodgkin's lymphoma of extranodal site"
40492266,497,503,"Gastrointestinal stromal tumor of stomach"
40486465,6,6,"Gastrointestinal stromal tumor of esophagus"
40486896,2453,4073,"Primary malignant neoplasm of extrahepatic bile duct"
42709931,2503,4295,"Primary malignant neoplasm of dome of urinary bladder"
40486171,512,734,"Diffuse follicle center lymphoma"
40492482,1631,2018,"Squamous cell carcinoma of nose"
40492458,2599,4044,"Neoplasm of uncertain behavior of digestive organ"
40491439,2157,3104,"Tumor of respiratory system"
4269053,21,29,"Hypercortisolism due to nonpituitary tumor"
37018338,1912,3446,"Benign carcinoid tumor"
317898,168613,205405,"Malignant essential hypertension"
199775,15,23,"Multiple endocrine neoplasia, type 3"
45765493,81,92,"Autoimmune lymphoproliferative syndrome"
45765770,733,931,"Follicular non-Hodgkin's lymphoma diffuse follicle center sub-type grade 1"
36717452,16,19,"Multiple endocrine neoplasia type 2A"
36716501,1,1,"Primary malignant epithelial neoplasm of nasopharynx"
37111620,944,1418,"Malignant carcinoid tumor of colon"
316994,659,796,"Malignant hypertensive heart disease with congestive heart failure"
45767695,2844,4252,"Metastatic carcinoid tumor"
44808122,24,27,"Diffuse large B-cell lymphoma"
45766966,6,11,"Pathologic fracture of ulna at site of neoplasm"
45766976,1,1,"Pathologic fracture of ankle at site of neoplasm"
3655266,8182,10162,"Pleural effusion due to malignant neoplastic disease"
133169,2415,2909,"Myelofibrosis"
442603,980,1122,"Malignant hypertensive heart AND renal disease"
45766967,20,32,"Pathologic fracture of tibia at site of neoplasm"
45766970,181,337,"Pathologic fracture of humerus at site of neoplasm"
45766974,281,476,"Pathologic fracture of femur at site of neoplasm"
46271402,2652,4408,"Malignant carcinoid tumor of small intestine"
37018339,359,474,"Benign carcinoid tumor of gastrointestinal tract"
37396808,9671,11899,"Cancer-related fatigue"
36713545,465,665,"Neuroendocrine carcinoma of appendix"
36716624,940,1121,"Neoplasm of uncertain behavior of bone and articular cartilage"
37111618,21,29,"Malignant carcinoid tumor of thymus"
602073,99,124,"Mycosis fungoides of inguinal lymph node"
46271647,582,855,"Malignant carcinoid tumor of stomach"
37018934,537,843,"Malignant carcinoid tumor of rectum"
36715801,77,107,"Primary malignant neoplasm of placenta"
36717179,187,265,"Primary malignant neuroendocrine neoplasm of duodenum"
36716620,152,164,"Malignant epithelial neoplasm"
4183981,1,1,"Malignant hypertensive heart disease"
24612,50,71,"Multiple endocrine neoplasia, type 2"
4288751,44,52,"Heavy chain disease"
45766969,11,18,"Pathologic fracture of radius at site of neoplasm"
37017321,50,69,"Malignant carcinoid tumor of kidney"
37204169,347,523,"Benign neoplasm of right adrenal gland"
45766973,9,18,"Pathologic fracture of fibula at site of neoplasm"
259827,14,17,"Disorder of visual pathways associated with neoplasm"
4094863,8,12,"Malignant tumor of Meckel's diverticulum"
201231,534,619,"Malignant neoplasm of connective and soft tissue of pelvis"
4092380,445,545,"Malignant neoplasm of skin of nose (external)"
4091467,1174,2036,"Malignant neoplasm of axillary tail of female breast"
4097284,14,16,"Malignant neoplasm of peripheral nerve of pelvis"
80665,406,505,"Malignant neoplasm of thorax"
438106,472,537,"Reticulosarcoma of lymph nodes of head, face and neck"
195201,10,10,"Lymphosarcoma of spleen"
4091768,29,34,"Burkitt's lymphoma of intrathoracic lymph nodes"
4097561,23,32,"Burkitt's lymphoma of lymph nodes of axilla and upper limb"
321522,293,394,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of multiple sites"
439285,8,11,"Hodgkin's disease, lymphocytic depletion of intra-abdominal lymph nodes"
313980,26,34,"Hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites"
136656,45,48,"Subacute lymphoid leukemia"
136056,342,432,"Chronic monocytic leukemia"
313430,15,16,"Subacute monocytic leukemia"
440655,532,873,"Malignant neoplasm of tongue, tip and lateral border"
4095312,868,1548,"Malignant tumor of nasopharynx"
4089777,2720,3589,"Malignant neoplasm of connective and soft tissue of hip and lower limb"
4095592,4578,8060,"Malignant melanoma of scalp and/or neck"
194286,23999,43082,"Malignant neoplasm of corpus uteri, excluding isthmus"
73153,4094,7440,"Malignant neoplasm of lateral wall of urinary bladder"
4091486,191,308,"Malignant neoplasm of overlapping lesion of urinary organs"
4094260,136,184,"Malignant neoplasm of peripheral nerves and autonomic nervous system"
200660,160,180,"Reticulosarcoma of lymph nodes of inguinal region and lower limb"
135194,58,71,"Lymphosarcoma of intrathoracic lymph nodes"
318697,326,351,"Lymphosarcoma of lymph nodes of multiple sites"
196055,34,43,"Burkitt's lymphoma of lymph nodes of inguinal region and lower limb"
4094548,208,275,"Extramedullary plasmacytoma"
140666,1623,2044,"Myeloid leukemia"
4095432,5,5,"Malignant neoplasm of liver and intrahepatic bile ducts"
4089754,9905,16411,"Malignant neoplasm of middle lobe of lung"
4091469,758,1419,"Malignant neoplasm of nipple and areola of male breast"
441241,123,137,"Reticulosarcoma of lymph nodes of axilla and upper limb"
140663,68,73,"Hodgkin's paragranuloma of lymph nodes of multiple sites"
439291,5,5,"Hodgkin's granuloma of intra-abdominal lymph nodes"
437505,457,513,"Nodular lymphoma of lymph nodes of axilla and upper limb"
132853,4963,6491,"Lymphoid leukemia"
313159,14,17,"Megakaryocytic leukemia"
4092358,521,600,"Malignant neoplasm of connective and soft tissue of thorax"
4095018,1312,1498,"Malignant neoplasm of connective and soft tissue of abdomen"
375479,119,130,"Kaposi's sarcoma of soft tissue"
4092382,82,119,"Malignant neoplasm of scalp and/or skin of neck"
4095748,278,447,"Malignant neoplasm of fundus of corpus uteri"
4095892,21,24,"Malignant neoplasm of peripheral nerves of head, face and neck"
4097283,76,95,"Malignant neoplasm of peripheral nerves of lower limb, including hip"
4094262,19,22,"Malignant neoplasm of peripheral nerve of thorax"
4091621,9,11,"Malignant neoplasm of peripheral nerve of abdomen"
197506,579,900,"Malignant neoplasm of abdomen"
315481,191,244,"Burkitt's lymphoma of lymph nodes of multiple sites"
198986,10,13,"Hodgkin's paragranuloma of intrapelvic lymph nodes"
320337,22,22,"Hodgkin's granuloma of lymph nodes of multiple sites"
193434,172,213,"Hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes"
141243,11,13,"Hodgkin's disease, lymphocytic depletion of intrathoracic lymph nodes"
439282,3,3,"Hodgkin's disease, lymphocytic depletion of intrapelvic lymph nodes"
4095430,1072,1710,"Malignant neoplasm of rectum, rectosigmoid junction and anus"
4095598,1471,1732,"Malignant neoplasm of skin of ear and external auditory canal"
4092517,1,1,"Choriocarcinoma"
77812,1063,1812,"Malignant neoplasm of anterior wall of urinary bladder"
4095168,5230,9770,"Malignant neoplasm, overlapping lesion of bladder"
201810,13,19,"Lymphosarcoma of intrapelvic lymph nodes"
4097560,195,245,"Burkitt's lymphoma of intra-abdominal lymph nodes"
315763,1381,1700,"Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites"
136655,116,135,"Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes"
192268,69,86,"Hodgkin's disease, mixed cellularity of intra-abdominal lymph nodes"
194594,21,23,"Hodgkin's disease, mixed cellularity of intrapelvic lymph nodes"
439281,6,7,"Hodgkin's disease, lymphocytic depletion of spleen"
198707,591,672,"Nodular lymphoma of lymph nodes of inguinal region and lower limb"
4092235,1107,1340,"Malignant neoplasm of connective and soft tissue of upper limb and shoulder"
4089860,268,496,"Malignant melanoma of lip"
4092513,17615,18281,"Malignant neoplasm, overlapping lesion of breast"
440957,1579,1851,"Lymphosarcoma and reticulosarcoma"
438380,134,160,"Lymphosarcoma of lymph nodes of head, face and neck"
197228,148,184,"Lymphosarcoma of intra-abdominal lymph nodes"
438709,120,142,"Hodgkin's paragranuloma of intrathoracic lymph nodes"
435207,1348,1535,"Nodular lymphoma of lymph nodes of head, face and neck"
135499,53,57,"Subacute myeloid leukemia"
377229,37,45,"Malignant neoplasm of auditory tube, middle ear and mastoid air cells"
4092216,89755,151895,"Malignant neoplasm of upper lobe of lung"
4091490,422,517,"Malignant neoplasm of cerebrum (excluding lobes and ventricles)"
4095304,2736,2795,"Malignant neoplasm of pituitary gland and craniopharyngeal duct"
200662,464,513,"Lymphosarcoma"
193428,25,33,"Burkitt's lymphoma of intrapelvic lymph nodes"
316649,9,9,"Hodgkin's sarcoma of lymph nodes of multiple sites"
136928,1180,1403,"Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes"
199760,40,46,"Hodgkin's disease, nodular sclerosis of intrapelvic lymph nodes"
315202,302,364,"Hodgkin's disease, mixed cellularity of lymph nodes of multiple sites"
135764,199,264,"Mycosis fungoides of lymph nodes of multiple sites"
321526,64,80,"Monocytic leukemia"
432860,28,34,"Benign tumor of nasopharynx"
4092223,292,394,"Malignant neoplasm of orbital bone"
4095589,1516,2942,"Malignant melanoma of ear and/or external auditory canal"
4091464,9539,19957,"Malignant neoplasm of nipple and areola of female breast"
4092515,1171,2182,"Malignant neoplasm, overlapping lesion of cervix uteri"
374297,42,55,"Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid"
196925,5297,9337,"Secondary malignant neoplasm of retroperitoneum and peritoneum"
378087,15373,25752,"Secondary malignant neoplasm of brain and spinal cord"
441803,32,37,"Lymphosarcoma of lymph nodes of axilla and upper limb"
198702,42,52,"Lymphosarcoma of lymph nodes of inguinal region and lower limb"
439293,6,7,"Burkitt's lymphoma of spleen"
440973,179,256,"Benign neoplasm of long bones of lower limb"
139766,2578,3640,"Carcinoma in situ of scalp and skin of neck"
81250,14166,21555,"Carcinoma in situ of breast"
4094114,150,164,"Neoplasm of uncertain behavior of genitourinary organs"
434303,2424,2684,"Benign neoplasm of rectum and anal canal"
198991,94,99,"Benign neoplasm of peritoneum and retroperitoneum"
4093950,149,209,"Benign neoplasm of brain, supratentorial"
193733,113,121,"Neoplasm of uncertain behavior of retroperitoneum and peritoneum"
77517,79,111,"Benign neoplasm of scapula and long bones of upper limb"
75206,45,55,"Benign neoplasm of pelvic bones, sacrum and coccyx"
30061,146,173,"Neoplasm of uncertain behavior of major salivary gland"
4094118,40,46,"Neoplasm of uncertain or unknown behavior of brain, supratentorial"
4096519,23,28,"Neoplasm of uncertain or unknown behavior of brain, infratentorial"
440063,204,235,"Benign neoplasm of pancreas, excluding islets of Langerhans"
193998,83,106,"Neoplasm of uncertain behavior of digestive and respiratory systems"
4099492,23,26,"Neoplasm of uncertain behavior of submandibular gland"
27516,262,420,"Neoplasm of uncertain behavior of paraganglia"
198108,63,65,"Benign neoplasm of fallopian tubes and uterine ligaments"
4093960,261,347,"Carcinoma in situ of bronchus and lung"
434883,147,190,"Carcinoma in situ of skin of eyelid including canthus"
4098922,328,706,"Melanoma in situ of skin structure of scalp and/or neck"
4099495,81,102,"Neoplasm of uncertain behavior of peritoneum"
440676,545,749,"Neoplasm of uncertain behavior of brain and spinal cord"
4098597,2870,3455,"Waldenström macroglobulinemia"
435502,1610,1812,"Macroglobulinemia"
4109398,2,3,"Visual cortex disorder due to neoplasm"
4110947,340,381,"Malignant secondary renovascular hypertension"
4067766,502,684,"Pathologic fracture of bone at site of neoplasm"
4001632,12,16,"Paget's disease of skull"
4001445,3,4,"Paget's disease of humerus"
4002990,9,12,"Paget's disease-femur"
4002994,35,43,"Paget's disease-multiple sites"
4020879,38,51,"Malignant hyperpyrexia due to anesthetic"
196758,41,75,"Tumor of body of uterus affecting pregnancy"
36684473,1072,1694,"Primary malignant neoplasm of nasopharynx"
4338759,778,995,"Squamous cell carcinoma of eyelid"
4335883,3259,4175,"Basal cell carcinoma of eyelid"
4333986,317,359,"Benign tumor of eyelid"
4338758,45,51,"Malignant tumor of eyelid"
4335884,1,1,"Sebaceous adenocarcinoma of eyelid"
192735,6556,8644,"Malignant ascites"
434300,2025,2966,"Neuroendocrine tumor"
4114222,14340,24217,"Malignant tumor of head and neck"
4116233,114,143,"Neoplasm of uncertain behavior of oral cavity"
4116235,157,210,"Malignant tumor of salivary gland"
4149840,3900,4793,"Nodular lymphoma"
132277,1652,2417,"Neoplasm of uncertain behavior of endocrine glands and nervous system"
4153890,7077,11905,"Malignant melanoma of trunk"
436045,352,512,"Malignant neoplasm of lip, oral cavity and pharynx"
4154632,196,264,"Benign neoplasm of nose, middle ear and accessory sinuses"
434885,86,99,"Benign neoplasm of skull and facial bones"
192292,55,77,"Carcinoma in situ of liver and/or biliary system"
198810,243,308,"Vulval intraepithelial neoplasia grade 2"
